Department,Year 2013-14,Grants Description,"Amount (£,000s)",Grant Category,End Recipient,No. of Recipients
Cabinet Office,2013-14,Structural Support - National Association for Voluntary and Community Action (NAVCA),13.025,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strategic partners transition programme grant to NAVCA,172.535,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strategic partners transition programme grant to locality,248.285,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Encourage Olympic Volunteering Legacy - Join In Trust,976,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Match Fund Fundraising Campaign - The Big Give Trust ,250,Ad Hoc,Voluntary Sector ,1
Cabinet Office,2013-14,Inspiring Social Action in Young People - Business in the Community,4.8,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Structural Support Grant - Institute of Fundraising,60.5,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strategic Partners Transition Programme - Institute of Fundraising,137.5,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Payroll Giving Awards - Institute of Fundraising ,92,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Community Libraries - Friends of Little Chalfont Library,10,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Structural support grant to UK Community Foundations,30,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strategic partners transition programme grant to UK Community Foundations,165,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Building A Nation of Good Neighbours - Royal Voluntary Service,35,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Go Givers - Giving Nation project grant to Citizenship Foundation,150,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Community First Neighbourhood Match Fund - Community Development Foundation,7386,Intermediated Grant,Voluntary Sector ,4000
Cabinet Office,2013-14,Strategic Grant to Vinspired,1000,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Social Incubator Fund - Big Lottery Fund,6911.965,Intermediated Grant,Voluntary Sector ,10
Cabinet Office,2013-14,Advice Services Transition Fund - Big Lottery Fund,16503.897,Intermediated Grant,Voluntary Sector ,300
Cabinet Office,2013-14,Structural Support Grant - ACEVO,12,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strategic Partners Transition Programme - ACEVO,207.5,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Contract Cruncher project grant - ACEVO ,12.75,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Community Organisers  Bursary - Locality,5704.554,General Grant,Voluntary Sector ,100
Cabinet Office,2013-14,Commnunity Organisers Progression Grant - Locality,1927.5,General Grant,Voluntary Sector ,40
Cabinet Office,2013-14,Applications to Youth Social Action Fund  -  British Youth Council,13.3,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strategic partners transition programme - Social Enterprise UK,249.559,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,NCS Programme Management Grant  - NCS Trust,4656.354,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Providers Grant - NCS Trust,30094.341,Intermediated Grant,Voluntary Sector ,Unknown 
Cabinet Office,2013-14,Rehabilitation - Social Action Fund - Social Investment Business,843,Intermediated Grant,Voluntary Sector ,Unknown
Cabinet Office,2013-14,Youth Social Action Fund - Social Investment Business,1918.268,Intermediated Grant,Voluntary Sector ,Unknown
Cabinet Office,2013-14,Development of Sector Graduate Scheme - Charityworks,95,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Grant 1 for Christmas 2013 Fundraising Campaign  - ITV Text Santa Ltd,250,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Grant 2 for Christmas 2013 Fundraising Campaign - ITV Text Santa Ltd,250,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Small Charities Training Project - Institute of Fundraising,100,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Inspiring Impact - New Philanthropy Capital,80,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Social Investment Trade Association - Social Enterprise Coalition,34,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Adoption Programme - Its All About Me Fund LLP,1000,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Pilot Co-Mingling Fund - Investing for Good,40,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Voice for Change England Merger - NAVCA,75,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Transforming Local Infrastructure - NAVCA,25.19,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Community Enterprise Fund - The Post Office Ltd,26.453,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Step Up to Serve - The Prince of Wales Charitable Foundation ,70,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strengthen volunteering within sport - Join In Trust ,950,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Transition of Do-It  - Red Trust,370,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Youth Voice Grant to British Youth Council,366,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Support for Good Incubation Conference - NESTA,10,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Cities of Service Project  - NESTA,500,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Contribution to cost of development of VCSE Masterclasses - NCVO,19.999,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Data Security Review - NCS Trust,205,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Social Action Energy Pilots - Social Investment Business,294,Intermediated Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Social Action Fund Follow on Funds - Social Investment Business,1590,Intermediated Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Autumn NCS Pilot - Sefton CVS,1.426,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,NCS Graduates Pilot - Salford Foundation,7.5,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Strengthen Volunteering within Sport - Join In Trust,950,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Community First Endowment Match Funding - Community Development Foundation,10880.7,Intermediated Grant,Voluntary Sector ,1
Cabinet Office,2013-14,ILM Merger - Institute of Fundraising,20,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Global Social Impact Investment  - OECD,45,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Risk Capital Fund - Bridges Ventures,938.17167,General Grant,,1
Cabinet Office,2013-14,Global Social Entrepreneurs Network - UnLtd,98,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,1 Million Friends Dementia Project - Alzheimers Society,935.277,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Trials - Youth United -  Childrens University - Education Endowment Foundation,389.283,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Evening Standard Dispossessed Fund - London Community Foundation,405,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Social Investment Duty - Law Commission,75,General Grant,Public Sector,1
Cabinet Office,2013-14,Global Learning Exchange - Pacific Community Ventures,40,General Grant,International,1
Cabinet Office,2013-14,Youth Social Action Journey Fund (Scale Up) - Social Investment Business,2000,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Impact Measurement Working Group - New Philathropy Capital,50,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,On-Line Procurement Platform - Social Enterprise UK,12,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Improving Outcomes for Children - Kids Company,500,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Social Investment Tax Relief - Ethex Investment Club,15,General Grant,Private Sector,1
Cabinet Office,2013-14,Partnership Finder Web Portal - MoJ,4.5,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Step Up to Serve Metrics - City Year,10,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Social Investment Tax Relief - Clearly So,9.24,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Social Investement Tax Relief - Co-operatives UK,13,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Step Up to Serve - NCVO (Institute for Voluntary Research)  ,5,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Step Up To Serve Metrics - Young Foundation,5,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Vulnerable and Disengaged Young People - Social Investment Business,551.5509,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Investment and Contract Readiness report - Social Investment Business,10,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Social investment data for SIFIs - Big Society Capital,24.284,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Step Up to Serve Publicity - Prince of Wales Chaitable Foundation,79.166,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Dissemination of Circle Model - Participle,120,General Grant,Voluntary Sector ,1
Cabinet Office,2013-14,Frontline London - School for Social Entrepreneurs,50,General Grant,Voluntary Sector ,1
 ,2013-14,Open Data Legislation.gov.uk database - National Archives,75,General Grant,Public Sector,1
Cabinet Office ,2013-14,Open Data Troubled Families Ecosystem project - Tameside Council,7.5,General Grant,Local Government,1
Cabinet Office ,2013-14,Open Data Grant - Open Knowledge Foundation,295,General Grant,Voluntary Sector ,1
Cabinet Office ,2013-14,Strategic - Big Society Network,12.5,General Grant,Voluntary Sector ,1
Cabinet Office ,2013-14,Support for Flood Affected Areas - UKCF,500,General Grant,Voluntary Sector ,1
Cabinet Office ,2013-14,Open Data  Grant - Housing Association Charitable Trust,90,General Grant,Voluntary Sector ,1
Cabinet Office ,2013-14,Open Standardised Datasets Scheme Local Government Association,8.64,General Grant,Local Government,1
Cabinet Office ,2013-14,Leeds Data Mill - Leeds City Council,100,General Grant,Local Government,1
Cabinet Office ,2013-14,Contract Cruncher project grant - ACEVO ,6.375,General Grant,Voluntary Sector ,1
Cabinet Office ,2013-14,Community Organisers  Bursary - Locality,3597.2,General Grant,Voluntary Sector ,100
Cabinet Office ,2013-14,Commnunity Organisers Progression Grant - Locality,1013.536,General Grant,Voluntary Sector ,40
DCLG,2013-14,Alcohol Fund,476.5,General Grant,Local Government ,11
DCLG,2013-14,Assets of Community Value (Right to Bid),8730,Intermediated Grant,,1
DCLG,2013-14,BCC Local Enterprise Partnerships Network,127,,,1
DCLG,2013-14,Building Regulations Research,354,,,2
DCLG,2013-14,Centre for Engineering and Manufacturing Excellence,1167,General Grant,Voluntary Sector ,1
DCLG,2013-14,Clusters of Empty Homes Fund,30000,Intermediated Grant,Local Government ,27
DCLG,2013-14,Coalfields Regeneration Grant ,12000,General Grant,Local Government ,1
DCLG,2013-14,Coastal Communities,14239,Intermediated Grant,Local Government ,14
DCLG,2013-14,CLAE - Grant in Aid ,12040,Grant In Aid,,1
DCLG,2013-14,Community Right to Challenge,2770,Intermediated Grant,Public Sector and Voluntary Sector ,1
DCLG,2013-14,Community Right - Just Act peer to peer website,50,,,1
DCLG,2013-14,Combating the influence of far right movements on young people,107,,,1
DCLG,2013-14,Community Music Events ,629.4,,,1
DCLG,2013-14,Community Right - Community Economic Development,108,,,1
DCLG,2013-14,Community Services Grants and Expansion of Advisory Hubs,200,General Grant,Voluntary Sector ,2
DCLG,2013-14,Council Tax Transition Grant,2410.992,General Grant,Local Government ,3
DCLG,2013-14,Design Vs as Built,380,,,1
DCLG,2013-14,Digital Partners Programme,470,General Grant,Voluntary Sector ,1
DCLG,2013-14,Efficiency Support Grant,10926,General Grant,Local Government ,14
DCLG,2013-14,Efficiency Support Services in Sparse Areas Allocations,8500,,,95
DCLG,2013-14,Migration Excel Project,50,,,1
DCLG,2013-14,Empty Homes Community Fund,20521,Intermediated Grant,Voluntary Sector ,1
DCLG,2013-14,English Language Competition,667.1,General Grant,Voluntary Sector ,16
DCLG,2013-14,English My Way,540,,,1
DCLG,2013-14,Enterprise Challenge,145,General Grant,Voluntary Sector ,1
DCLG,2013-14,Enterprise Zones,5000,,,1
DCLG,2013-14,Enterprise Zones Capital Grant Fund,2516,,,1
DCLG,2013-14,Faith Minorities in Action,20,,,1
DCLG,2013-14,Fire Control Room Service Scheme,325,General Grant,Local Government ,1
DCLG,2013-14,Firelink - National Resilience,324.5,General Grant,Public Sector,1
DCLG,2013-14,Future for Youth,10,,,1
DCLG,2013-14,Gap Funding,10650,,,3
DCLG,2013-14,Groundwork Grant,6000,General Grant,Voluntary Sector ,1
DCLG,2013-14,Growth Areas Grant  (WNDC),21986,Grant In Aid,Private Sector and Public Sector,1
DCLG,2013-14,HCA Sponsorship,2361320,Grant In Aid,Private Sector and Public Sector,1
DCLG,2013-14,Housing Mobility,30,General Grant,Local Government ,1
DCLG,2013-14,The Housing Ombudsman ,839,Grant In Aid,Public Sector,1
DCLG,2013-14,Industrial Cadets,175,General Grant,Voluntary Sector ,1
DCLG,2013-14,Integration and Extremism  -  Common  Ground ,279,,,3
DCLG,2013-14,Integration and Extremism  - Tolerance,1056,,,4
DCLG,2013-14,Supporting Inclusion Programme,5153,General Grant,Voluntary Sector ,1
DCLG,2013-14,Ironbridge Gorge Capital Grant ,1500,,,1
DCLG,2013-14,IDEA Training Grant ,17,,,1
DCLG,2013-14,Large Scale Sites Programme,7196,General Grant,Local Government ,13
DCLG,2013-14,Leasehold Advisory Service ,1068,Grant In Aid,Public Sector,1
DCLG,2013-14,Local Enterprise Partnerships,21632.9,Intermediated Grant,Local Government ,44
DCLG,2013-14,Locality Brokers Service,54,,,1
DCLG,2013-14,London Settlement,814085,General Grant,Local Government ,1
DCLG,2013-14,Love Parks (Support for Keep Britain Tidy),5,,,1
DCLG,2013-14,Mayoral Development Fund,60550,General Grant,Local Government ,2
DCLG,2013-14,Migration Excel Project,54,,,1
DCLG,2013-14,Neighbourhood Community Budgets,620,General Grant,Local Government and Public Sector and Voluntary Sector ,6
DCLG,2013-14,Near Neighbours Initiative,1617,,,1
DCLG,2013-14,Neighbourhood Community Budgets Pilot Implementation,385,,,10
DCLG,2013-14,New Dimension - National Resilience Asset Assurance,5775,General Grant,Public Sector,1
DCLG,2013-14,Olympic Stadium Contingency Funding,25000,,,1
DCLG,2013-14,Operational Guidance Programme,275,General Grant,Voluntary Sector ,1
DCLG,2013-14,Parish Councils Work Programme,33.9,,,1
DCLG,2013-14,PFI Special Grant,13850,,,1
DCLG,2013-14,Planning Advisory Service (PAS),2300,General Grant,Local Government ,1
DCLG,2013-14,Portsmouth City Deal: Economic Development Grant,48750,,,1
DCLG,2013-14,Private service transformation network,1500,,,10
DCLG,2013-14,Public service transformation network,88,,,1
DCLG,2013-14,Public sector transformation network,425,,,1
DCLG,2013-14,Regional Control Centre Grant,5407,General Grant,Public Sector,3
DCLG,2013-14,Regional Growth Fund,550400,Intermediated Grant,Private Sector and Public Sector,94
DCLG,2013-14,Resilience - cross boundry support,17.114,General Grant,Local Government ,1
DCLG,2013-14,Resilience - smoke filled environments,88,General Grant,Local Government ,1
DCLG,2013-14,Rogue Landlords,1826,General Grant,Local Government ,23
DCLG,2013-14,Schools Linking Network,100.626,General Grant,Voluntary Sector ,1
DCLG,2013-14,Social Housing Fraud Grant Payments,4853.13,General Grant,Voluntary Sector ,49
DCLG,2013-14,Somerset Severe Weather Recovery Scheme,500,,,1
DCLG,2013-14,Srebenica Memorial Day project,170,General Grant,Voluntary Sector ,1
DCLG,2013-14,Strategic Grant Offer,220,General Grant,Local Government ,1
DCLG,2013-14,Strategic Plan Grant ,50,General Grant,Local Government ,1
DCLG,2013-14,Supporting Parish Councils,31,,,2
DCLG,2013-14,Supporting Communities and Neighbourhoods in Planning,2561,General Grant,Voluntary Sector ,5
DCLG,2013-14,Sustainable Communities Act 2007,140,,,1
DCLG,2013-14,Talking Together,298,,,1
DCLG,2013-14,Tenant Empowerment Programme,936,General Grant,Communities,2
DCLG,2013-14,The CIH Making Better Use of Stock Project,170,General Grant,Voluntary Sector ,1
DCLG,2013-14,The Coroners Inquest Revenue (Lakanal House),236,,,1
DCLG,2013-14,"The e3 Pilot Project - English through Social, Economic and Community Action ",210,,,1
DCLG,2013-14,Fire Revenue Grant,126,,,1
DCLG,2013-14,Together in  Service,150,General Grant,Voluntary Sector ,1
DCLG,2013-14,Towns Regeneration,915,General Grant,Local Government ,8
DCLG,2013-14,Whole Place Community Budgets,1900,,,10
DCLG,2013-14,Commonwealth Commerorates WW1,25,,,1
DCLG,2013-14,WW1: Woking Peace Garden Project,50,,,1
DCLG,2013-14,Remembering World War One ,125,General Grant,Voluntary Sector ,1
DCLG,2013-14,English Language Project,286,,,3
DCLG,2013-14,Black Training Enterprise Group -  Opening  Doors Grant ,49,,,1
DCLG,2013-14,Transformation Challenge Award (TCA),12980,General Grant,Local Government ,31
DCLG,2013-14,Transformation Project Support ,1000,,,9
DCLG,2013-14,Transition Funding Grant ,165,,,1
DCLG,2013-14,VTS,1906,Grant in Aid,,1
DCLG,2013-14,Community Shares Unit,200,General Grant,Voluntary Sector ,1
DCLG,2013-14,Homelessness Revenue Grant,4020,General Grant,Local Government ,1
DCLG,2013-14,Transparency Code Set Up Costs,993,General Grant,Local Government ,300
DCLG,2013-14,Community Rights and Parishes,300,General Grant,Voluntary Sector ,1
DCLG,2013-14,Assets of Community Value New Burdens Grant,2560,Formula Grant,Local Government ,326
DCLG,2013-14,Community Rights to Challenge New Burdens Grant,3000,Formula Grant,Local Government ,353
DCLG,2013-14,Council Tax Transition Grant,50910,Formula Grant,Local Government ,421
DCLG,2013-14,Disabled Facilities Grant,179800,General Grant,Local Government ,326
DCLG,2013-14,Fire Capital Grant,70000,General Grant,Local Government ,46
DCLG,2013-14,Fire Revenue Grant,32230,Formula Grant,Local Government ,46
DCLG,2013-14,Firefighters Pensions,418960,Formula Grant,Local Government ,46
DCLG,2013-14,Local Services Support Grant,55900,Formula Grant,Local Government ,354
DCLG,2013-14,Localising Council Tax New Burdens,33490,Formula Grant,Local Government ,326
DCLG,2013-14,Neighbourhood Planning Grant for Local Planning Authorities,820,General Grant,Local Government ,153
DCLG,2013-14,Neighbourhood Planning New Burdens,4500,Formula Grant,Local Government ,Unknown
DCLG,2013-14,New Homes Bonus Scheme,668340,Formula Grant,Local Government ,353
DCLG,2013-14,Private Finance Initiative (NG),695000,General Grant,Local Government ,123
DCLG,2013-14,Business Support Scheme,10230,General Grant,Local Government ,50
DCLG,2013-14,Tackling Troubled Families,160882,General Grant,Local Government ,152
DCLG,2013-14,Severe Weather Recovery Scheme,3500,General Grant,Local Government ,25
DCLG,2013-14,Voluntary Organisations,3030,General Grant,Voluntary Sector ,38
DCLG,2013-14,Small Business and Empty Property relief,205000,Formula Grant,Local Government ,385
DCLG,2013-14,Weekly Collection Support Scheme,98900,General Grant,Local Government ,82
DCLG,2013-14,Revenue Support Grant,15175402,Formula Grant,Local Government ,385
DCLG,2013-14,Specified Bodies Topslice,25500,General Grant,Local Government ,1
DCLG,2013-14,CLA ,11644,Grant In Aid,Local Government ,1
DCLG,2013-14,Council Tax Freeze,58808,Formula Grant,Local Government ,37
DCLG,2013-14,Council Tax Freeze  13-14 (All),181210,Formula Grant,Local Government ,257
DCLG,2013-14,Localising CT Support for Police,432965,Formula Grant,Local Government ,39
DCLG,2013-14,New Homes Adjustment Grant (NHB Topslice),81700,Formula Grant,Local Government ,353
DCLG,2013-14,Emergency Assistance to LAs,5028,General Grant,Local Government ,Unknown
DCLG,2013-14,GLA Community Right to Build,1250,Formula Grant,Local Government ,1
DCLG,2013-14,PFI Joint Service Centres,26777,Formula Grant,Local Government ,20
DCLG,2013-14,Safety Net on Account,69016,Formula Grant,Local Government ,26
DCLG,2013-14,Transitional Relief,140149,Formula Grant,Local Government ,250
DCLG,2013-14,Valuation Tribunal Service ,8141,Grant In Aid,Public Sector,1
DCLG,2013-14,NNDR Outturn Adj,300000,General Grant,Local Government ,143
DCLG,2013-14,Business Rates Retention Scheme,18677000,Formula Grant,Local Government ,385
DCLG,2013-14,BRR Top Up,3292439,Formula Grant,Local Government ,130
DCMS,2013-14,BBC,3146357,Grant In Aid,Public Sector,1
DCMS,2013-14,Arts Council England,461345,Grant In Aid,Voluntary Sector ,1000s
DCMS,2013-14,Olympic Delivery Authority,186300,Grant In Aid,Public Sector,1
DCMS,2013-14,Sport England,88634,Grant In Aid,Private Sector,730
DCMS,2013-14,Ofcom (Spectrum Management & SCAP),90473,Grant In Aid,Private Sector,1
DCMS,2013-14,UK Sports Council,43020,Grant In Aid,Private sector,114
DCMS,2013-14,English Heritage,99846,Grant In Aid,Local Government and Private Sector,800
DCMS,2013-14,Visit Britain,46830,Grant In Aid,Public Sector,1
DCMS,2013-14,British Film Institute,24301,Grant In Aid,Private Sector,36
DCMS,2013-14,National Heritage Memorial Fund,10000,Grant In Aid,Private Sector,10
DCMS,2013-14,S4C,6561,Grant In Aid,Public Sector,1
DCMS,2013-14,UK anti-doping,6031,Grant In Aid,Public Sector,1
DCMS,2013-14,Sports Ground Safety Authority,1133,Grant In Aid,Public Sector,1
DCMS,2013-14,British Museum,43862,Grant In Aid,Public Sector,1
DCMS,2013-14,Natural History Museum,44314,Grant In Aid,Public Sector,1
DCMS,2013-14,Imperial War Museum,21243,Grant In Aid,Public Sector,1
DCMS,2013-14,National Gallery,25520,Grant In Aid,Public Sector,1
DCMS,2013-14,Royal Museums Greenwich,16382,Grant In Aid,Public Sector,1
DCMS,2013-14,National Museums Liverpool,20912,Grant In Aid,Public Sector,1
DCMS,2013-14,National Portrait Gallery,7040,Grant In Aid,Public Sector,1
DCMS,2013-14,Science Museum Group,42247,Grant In Aid,Public Sector,1
DCMS,2013-14,Tate Gallery,24394,Grant In Aid,Public Sector,1
DCMS,2013-14,Victoria and Albert Museum,39408,Grant In Aid,Public Sector,1
DCMS,2013-14,Wallace Collection,2994,Grant In Aid,Public Sector,1
DCMS,2013-14,Sir John Soane's Museum,1572,Grant In Aid,Public Sector,1
DCMS,2013-14,Horniman Museum,4258,Grant In Aid,Public Sector,1
DCMS,2013-14,Geffrye Museum,1789,Grant In Aid,Public Sector,1
DCMS,2013-14,Royal Armouries,7620,Grant In Aid,Public Sector,1
DCMS,2013-14,Design Museum,281,Grant In Aid,Private Sector,1
DCMS,2013-14,Peoples History Museum,159,Grant In Aid,Private Sector,1
DCMS,2013-14,British Library (inc Public Lending Right),95494,Grant In Aid,Public Sector,1
DCMS,2013-14,The Royal Parks,13251,Grant In Aid,Public Sector,1
DCMS,2013-14,Churches Conservation Trust,2787,Grant In Aid,Public Sector,1
DCMS,2013-14,Equality and Human Rights Commission,22237,Grant In Aid,Public Sector,1
DCMS,2013-14,National Film and Television School,2766,Grant In Aid,Private Sector,1
DCMS,2013-14,National Lottery Commission,2597,Grant In Aid,,
DCMS,2013-14,PFI Funding for Library Projects,15410,General Grant,Local Government ,6
DCMS,2013-14,PFI Funding for Sport and Leisure Facilities,13480,General Grant,Local Government ,11
DCMS,2013-14,Royal Naval College Greenwich,1274,General Grant,Private Sector,1
DCMS,2013-14,Chatham Historic Dockyard Trust,255,General Grant,Private Sector,1
DCMS,2013-14,World Heritage Committee,16,General Grant,NGO,1
DCMS,2013-14,World Cultural Convention Subscriptions,139,General Grant,NGO,1
DCMS,2013-14,VAT relief on Memorials,524,General Grant,Private Sector,50
DCMS,2013-14,Listed Places of Worship Scheme,27429,General Grant,Private Sector,3500
DCMS,2013-14,Anti-doping panel,400,General Grant,Private Sector,1
DCMS,2013-14,Access to Elected Office,1120,General Grant,Private Sector,0
DCMS,2013-14,British Horseracing Grant Scheme,1000,General Grant,Private Sector,37
DCMS,2013-14,Endowment for Horeseracing Foundation,9000,General Grant,Private Sector,1
DCMS,2013-14,Support for Creative Industries,8000,General Grant,Private Sector,1
DCMS,2013-14,Broadband UK  (BDUK) Super-Connected Cities Project,21500,General Grant,Local Government ,22
DCMS,2013-14,Broadband UK  (BDUK) Rural Broadband Project,92200,General Grant,Local Government ,28
DCMS,2013-14,Broadband UK  (BDUK) Capital Mobile Infrastructure Project,70000,General Grant,Private Sector,1
DCMS,2013-14,Childcare business grants (to help start new childcare businesses),1000,General Grant,Private Sector,4000
DCMS,2013-14,School Games,100,General Grant,Private Sector,1
DCMS,2013-14,Poet Laureate,6,General Grant,Private Sector,1
DCMS,2013-14,Poetry Society,11,General Grant,Private Sector,1
DCMS,2013-14,UK City of Culture,142,General Grant,Local Government ,1
DCMS,2013-14,UK cultural contact point,53,General Grant,Private Sector,1
DCMS,2013-14,International Inspiration,700,General Grant,Private Sector,1
DCMS,2013-14,Eureka Audiovisual Observatory Subscriptions,222,General Grant,Private Sector,1
DCMS,2013-14,OfCOM : Media Literacy and Community Radio,94.9,General Grant,Communities,1
DCMS,2013-14,Community Radio Funding,430,General Grant,Communities,1
DCMS,2013-14,Orphan Costs (grant to OfCOM for costs not chargeable to industry),989,General Grant,Public Sector,1
DCMS,2013-14,Northern Ireland Multiplex,300,General Grant,Private Sector,1
DCMS,2013-14,Climate Associates,15,General Grant,Private Sector,1
DCMS,2013-14,Funding of Internet Governance Forum,15,General Grant,Private Sector,1
DCMS,2013-14,Tourism for All,10,General Grant,Voluntary Sector ,1
DCMS,2013-14,Spectrum Clearance and Awards Programme,57590,General Grant,Private Sector,Unknown
DCMS,2013-14,Marlborough House Management,454,General Grant,Private Sector,1
