Funding Org:Name,Grant Programme:Code,Grant Programme:Title,Aims and objectives,Value per year,Start Date,End Date,Duration Numeric,Allocation Method,Recipient Sector,COFOG L0 Long Name
Department for Communities and Local Government,SCH-000000550,X085A518-RIGHT TO BUY:INNOVATION FUND DEL PROG VOTED,.,"-30,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,n/a
Department for Communities and Local Government,SCH-000000597,X085A637-HIGH VALUE ASSETS DEL PROG VOTED,.,"83,000",01/04/16,31/03/17,1,General Grants - Un-competed,Local Government,n/a
Department for Communities and Local Government,SCH-000000564,X085A567-HOUSING GROWTH AND AFFORDABLE HOUSING:- GARDEN CITIES DEL PROG VOTED,,"4,000,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,n/a
Department for Communities and Local Government,SCH-000000589,X085A613-BETTER CARE FUND CONTRIBUTIONS DEL PROG VOTED,.,"400,000",01/04/16,31/03/17,1,General Grants - Un-competed,Local Government,10. Social protection
Department for Communities and Local Government,SCH-000000598,X085A642-SMALLER AUTHORITIES SECTOR LED BODY: DEL PROG VOTED,.,"320,000",01/04/16,31/03/17,1,General Grants - Un-competed,Public Organisations,n/a
Department for Communities and Local Government,SCH-000000575,X085A586-REVIEW OF RETIREMENT EXIT FEES DEL PROG VOTED,.,"175,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000566,X085A574-NEIGHBOURHOOD PLANNING:NEW BURDEN DEL PROG VOTED,.,"3,295,000",01/04/16,31/03/17,1,General Grants - Competed,Public Organisations,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000591,X085A615-COASTAL COMMUNITY TEAMS DEL PROG VOTED,.,"1,000,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,n/a
Department for Communities and Local Government,SCH-000000806,X085A395-CITY DEALS DEL PROG VOTED,.,"116,350,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000804,X085A392-LONDON SETTLEMENT DEL PROG VOTED,.,"4,650,000",01/04/16,31/03/17,1,Formula,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000000665,X085A062-REGIONAL GROWTH FUND DEL PROG VOTED,To support jobs and growth across the UK,"85,337,000",01/04/16,31/03/17,1,General Grants - Criteria Based,Private,4. Economic affairs
Department for Communities and Local Government,SCH-000000803,X085A390-Coastal Communities DEL Prog Voted,.,"4,650,000",01/04/16,31/03/17,1,General Grants - Competed,Local Government,6. Housing and community amenities
