Funding Org:Name,Grant Programme:Code,Grant Programme:Title,Aims and objectives,Value per year,Start Date,End Date,Duration Numeric,Allocation Method,Recipient Sector,COFOG L0 Long Name
CLG Local Government,SCH-000003192,Transitional Protection Payments 2015/16,,"24,742,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003206,Deficit on Collection 2015/16,,"120,476,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003207,Business Rate S31 grant reconciliation 2015/16,,"7,416,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003208,Final NNDR3 Deficit on Collection 2015/16,,"513,287,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003204,Doubling of Small Business Rate 2015/16,,"270,826,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003218,COUNCIL TAX REFERENDUM 2015/16,,"111,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000003219,BUSINESS RATES RELIEF S31 REPAYMENTS 2015/16,,"-62,085,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000003134,NON-DOMESTIC RATES OUTTURN ADJUSTMENTS 2015/16,,"60,949,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000003135,PFI SPECIAL GRANTE DEL PROG VOTED (JOINT SERVICE CENTRES) 2015/16,,"27,806,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
CLG Local Government,SCH-000003138,REVENUE SUPPORT GRANTS 2015/16,,"9,532,755,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
CLG Local Government,SCH-000003146,LONDON SETTLEMENT 2015/16,,"723,545,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,6. Housing and community amenities
CLG Local Government,SCH-000003116,COUNCIL TAX 2015/16,,"120,011,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,1. General public services
Department for Business Innovation and Skills,SCH-000003954,UK Defence Solutions Centre Grant Offer 2014-2018,"The Defence Growth Partnership was convened with the aim of securing a thriving UK defence sector through: ? growing the UK?s global market share by increasing defence exports; ? fostering greater collaboration and innovation across the sector, bringing products and services to the market which meet customer needs; and ? improving competitiveness through the whole value chain.","1,844,000",18/12/14,17/12/17,3,General Grants - Un-competed,Private,4. Economic affairs
Department for Business Innovation and Skills,SCH-000003292,RCUK - Scheme 10 years 15/16,,"61,332",01/04/15,31/03/25,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003293,RCUK - Scheme 2 years 15/16,,"114,703,990",01/04/15,31/03/17,2,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003294,RCUK - Scheme 3 years 15/16,,"232,977,239",01/04/15,31/03/18,3,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003295,RCUK - Scheme 4 years 15/16,,"119,918,433",01/04/15,31/03/19,4,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003296,RCUK - Scheme 5 years 15/16,,"102,330,655",01/04/15,31/03/20,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003297,RCUK - Scheme 6 years 15/16,,"5,159,352",01/04/15,31/03/21,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003298,RCUK - Scheme 7 years 15/16,,"7,298,930",01/04/15,31/03/22,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003299,RCUK - Scheme 8 years 15/16,,"17,763,632",01/04/15,31/03/23,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003300,RCUK - Scheme 10 years 14/15,,"1,277,475",01/04/14,31/03/24,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003301,RCUK - Scheme 2 years 14/15,,"73,668,117",01/04/14,31/03/16,2,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003302,RCUK - Scheme 3 years 14/15,,"180,999,495",01/04/14,31/03/17,3,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003303,RCUK - Scheme 4 years 14/15,,"99,455,499",01/04/14,31/03/18,4,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003304,RCUK - Scheme 5 years 14/15,,"121,929,031",01/04/14,31/03/19,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003305,RCUK - Scheme 6 years 14/15,,"11,689,308",01/04/14,31/03/20,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003306,RCUK - Scheme 7 years 14/15,,"4,014,138",01/04/14,31/03/21,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003307,RCUK - Scheme 8 years 14/15,,"15,617",01/04/14,31/03/22,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003308,RCUK - Scheme 9 years 14/15,,"51,302,408",01/04/14,31/03/23,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003309,RCUK - Scheme 10 years 13/14,,"2,726,990",01/04/13,31/03/23,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003311,RCUK - Scheme 3 years 13/14,,"171,067,140",01/04/13,31/03/16,3,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003312,RCUK - Scheme 4 years 13/14,,"167,114,673",01/04/13,31/03/17,4,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003313,RCUK - Scheme 5 years 13/14,,"128,656,475",01/04/13,31/03/18,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003314,RCUK - Scheme 6 years 13/14,,"20,081,324",01/04/13,31/03/19,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003315,RCUK - Scheme 7 years 13/14,,"2,821,280",01/04/13,31/03/20,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003316,RCUK - Scheme 9 years 13/14,,"104,434",01/04/13,31/03/22,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003317,RCUK - Scheme 10 years 12/13,,"11,028,320",01/04/12,31/03/22,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003319,RCUK - Scheme 4 years 12/13,,"160,180,920",01/04/12,31/03/16,4,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003320,RCUK - Scheme 5 years 12/13,,"145,661,012",01/04/12,31/03/17,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003321,RCUK - Scheme 6 years 12/13,,"18,725,052",01/04/12,31/03/18,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003322,RCUK - Scheme 7 years 12/13,,"5,478,614",01/04/12,31/03/19,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003323,RCUK - Scheme 8 years 12/13,,"258,550",01/04/12,31/03/20,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003324,RCUK - Scheme 10 years 11/12,,"4,546,499",01/04/11,31/03/21,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003325,RCUK - Scheme 11 years 11/12,,"30,672,382",01/04/11,31/03/22,11,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003327,RCUK - Scheme 5 years 11/12,,"69,589,897",01/04/11,31/03/16,5,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003328,RCUK - Scheme 6 years 11/12,,"43,154,370",01/04/11,31/03/17,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003329,RCUK - Scheme 7 years 11/12,,"5,223,818",01/04/11,31/03/18,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003330,RCUK - Scheme 8 years 11/12,,"29,565,820",01/04/11,31/03/19,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003331,RCUK - Scheme 9 years 11/12,,"1,023,425",01/04/11,31/03/20,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003332,RCUK - Scheme 10 years 10/11,,"3,818,933",01/04/10,31/03/20,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003334,RCUK - Scheme 6 years 10/11,,"33,494,804",01/04/10,31/03/16,6,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003335,RCUK - Scheme 7 years 10/11,,"33,516,908",01/04/10,31/03/17,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003336,RCUK - Scheme 8 years 10/11,,"5,339,549",01/04/10,31/03/18,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003337,RCUK - Scheme 9 years 10/11,,"130,156",01/04/10,31/03/19,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003338,RCUK - Scheme 10 years 09/10,,"619,716",01/04/09,31/03/19,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003339,RCUK - Scheme 11 years 09/10,,"924,008",01/04/09,31/03/20,11,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003340,RCUK - Scheme 7 years 09/10,,"8,047,515",01/04/09,31/03/16,7,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003341,RCUK - Scheme 8 years 09/10,,"8,463,345",01/04/09,31/03/17,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003342,RCUK - Scheme 9 years 09/10,,"31,019,227",01/04/09,31/03/18,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003343,RCUK - Scheme 10 years 08/09,,"7,196,685",01/04/08,31/03/18,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003344,RCUK - Scheme 11 years 08/09,,"3,589,975",01/04/08,31/03/19,11,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003345,RCUK - Scheme 12 years 08/09,,"432,359",01/04/08,31/03/20,12,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003347,RCUK - Scheme 8 years 08/09,,"1,743,288",01/04/08,31/03/16,8,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003348,RCUK - Scheme 9 years 08/09,,"7,029,281",01/04/08,31/03/17,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003349,RCUK - Scheme 10 years 07/08,,"843,548",01/04/07,31/03/17,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003350,RCUK - Scheme 12 years 07/08,,"125,570",01/04/07,31/03/19,12,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003351,RCUK - Scheme 13 years 07/08,,"232,052",01/04/07,31/03/20,13,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003352,RCUK - Scheme 9 years 07/08,,"27,701",01/04/07,31/03/16,9,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003353,RCUK - Scheme 11 years 06/07,,"6,283,639",01/04/06,31/03/17,11,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003354,RCUK - Scheme 13 years 06/07,,"902,776",01/04/06,31/03/19,13,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003355,RCUK - Scheme 14 years 06/07,,"225,203",01/04/06,31/03/20,14,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003356,RCUK - Scheme 13 years 05/06,,"82,021,366",01/04/05,31/03/18,13,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003357,RCUK - Scheme 13 years 04/05,,"60,359,412",01/04/04,31/03/17,13,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003358,RCUK - Scheme 15 years 03/04,,"23,398,546",01/04/03,31/03/18,15,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003284,RCUK - Scheme 1 year 15/16,,"123,238,064",01/04/15,31/03/16,1,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003877,RCUK - Scheme 100+ years 01/02,,"952,046",01/04/01,31/03/21,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003878,RCUK - Scheme 100+ years 05/06,,"643,491",01/04/05,31/03/25,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003881,RCUK - Scheme 100+ years 02/03,,0,01/04/02,31/03/22,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003880,RCUK - Scheme 100+ years 11/12,,"105,603",01/04/11,31/03/31,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003879,RCUK - Scheme 100+ years 09/10,,"107,959",01/04/09,31/03/29,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003876,RCUK - Scheme 100+ years 00/01,,"389,124",01/04/00,31/03/20,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003875,RCUK - Scheme 100+ years 15/16,,"2,172,379",01/04/15,31/03/35,20,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003362,RCUK - Scheme 10 years 06/07,,"4,262,200",01/04/06,31/03/16,10,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003363,RCUK - Scheme 18 years 98/99,,"410,976",01/04/98,31/03/16,18,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003364,RCUK - Scheme 15 years 02/03,,"317,393",01/04/02,31/03/17,15,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003365,RCUK - Scheme 14 years 03/04,,"2,849,069",01/04/03,31/03/17,14,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000003366,RCUK - Scheme 12 years 05/06,,"1,938,984",01/04/05,31/03/17,12,General Grants - Competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000000308,HEFCE - Teaching grant (15/16),,"1,358,710,199",01/07/15,30/06/16,1,Formula,Civil Society,9. Education
Department for Business Innovation and Skills,SCH-000000311,HEFCE - Other Grants (15/16),To support activities and costs not suitable for formula funding,"635,137,762",01/07/15,30/06/16,1,General Grants - Competed; General Grants - Un-competed; General Grants - Criteria Based; Formula,Civil Society,9. Education
Department for Business Innovation and Skills,SCH-000000317,Support for European Space Programme,To support UK space policy,"272,117,000",01/07/15,30/06/16,1,General Grants - Un-competed,International,9. Education
Department for Business Innovation and Skills,SCH-000000318,Support for Citizens Advice Bureau (CAB),To provide a public service,"37,000,000",01/07/15,30/06/16,1,General Grants - Un-competed,Civil Society,1. General public services
Department for Business Innovation and Skills,SCH-000000316,Higher Education and Innovation Other Grants (HEIG),Miscellaneous HE spending not supported through other budgets,"5,928,209",01/07/15,30/06/16,1,General Grants - Competed; General Grants - Un-competed; General Grants - Criteria Based,Central Government; Local Government; Civil Society; Public Organisations; Private; Individuals,9. Education
Department for Business Innovation and Skills,SCH-000000315,Regional Growth Fund Programme,To help create and sustain private sector jobs in target regions,"14,804,862",01/07/15,30/06/18,3,General Grants - Competed,Private,4. Economic affairs
Department for Business Innovation and Skills,SCH-000000309,HEFCE - Research grant (15/16),,"1,557,933,376",01/07/15,30/06/16,1,Formula,Civil Society,4. Economic affairs
Department for Business Innovation and Skills,SCH-000000310,HEFCE - Third Stream (15/16),To support third stream activities in English HE providers,"200,416,680",01/07/15,30/06/16,1,General Grants - Criteria Based; Formula,Civil Society,4. Economic affairs
Department for Business Innovation and Skills,SCH-000000314,Advanced Manufacturing Supply Chain Initiative (AMSCI) -2015/16,To support and sustain the supply chains for advanced manufacturing as part of HMG's industrial strategy,"277,621,738",01/07/15,30/06/16,1,General Grants - Competed; General Grants - Criteria Based; Formula,Private,4. Economic affairs
Department for Business Innovation and Skills,SCH-000000313,Skills,Adult skills,"3,434,833,813",01/07/15,30/06/16,1,Formula,Local Government; Civil Society; Public Organisations; Private,9. Education
Department for Business Innovation and Skills,SCH-000000312,Innovation Grants - 15/16,To promote innovation and the commercialisation of research,"667,165,341",01/07/15,30/06/16,1,General Grants - Competed,Local Government; Civil Society; Public Organisations; Private,4. Economic affairs
Department for Communities and Local Government,SCH-000003153,HCA Affordable Homes:Right to Buy 1-4-1 Replacement D 2015/16,,"9,550,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003154,HCA AFFORDABLE HOUSING GUARANTEE 2015/16,,"28,238,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003155,STOCK TRANSFER 2015/16,,"207,035,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
Department for Communities and Local Government,SCH-000003150,TOWNS REGENERATION 2015/16,,"233,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003151,MANUFACTURING REGENERATION 2015/16,,"783,000",01/04/15,31/03/16,1,General Grants - Competed,Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003162,HCA HOUSING SUPPLY:ENTERPRISE ZONES 2015/16,,"600,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003163,HCA HOUSING SUPPLY:BUILD TO RENT 2015/16,,"2,150,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003166,MANDATING DATA TRANSPARENCY 2015/16,,"5,112,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,1. General public services
Department for Communities and Local Government,SCH-000003167,RIGHT TO BUY:INNOVATION FUND 2015/16,,"42,000,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,n/a
Department for Communities and Local Government,SCH-000003172,EMERGENCY FUNDING FOR LAs:BELWIN (FLOODS) 2015/16,,"40,000,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
Department for Communities and Local Government,SCH-000003173,HCA SINGLE LAND PROGRAMME: 2015/16,,"-20,000,000",01/04/15,31/03/16,1,General Grants - Competed,Public Organisations,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003174,HCA CITY DEALS: PRESTON CITY DEAL 2015/16,,"642,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003161,HCA HOUSING SUPPLY:LARGE SITES 2015/16,,"4,300,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003177,OMBUDSMAN REDRESS SCHEME 2015/16,,"37,388,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Public Organisations,n/a
Department for Communities and Local Government,SCH-000003178,LOCAL AUTHORITY FRAUD 2015/16,,"9,971,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,n/a
Department for Communities and Local Government,SCH-000003179,TRANSFORMATION CHALLENGE AWARD 2015/16,,"95,680,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003180,LOCAL GOVERNMENT EFFICIENCY 2015/16,,"12,009,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003181,EMERGENCY FUNDING FOR LAs:SEVERE WEATHER RECOVERY SCHEM 2015/16,,"172,435,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government; Civil Society,n/a
Department for Communities and Local Government,SCH-000003182,LOCAL GOVERNMENT FINANCE MAIN: FAMILY ANNEXES 2015/16,,"3,000,000",01/04/15,31/03/16,1,Formula,Local Government,n/a
Department for Communities and Local Government,SCH-000003183,OPEN SOURCE PLANNING: PLANNING ENFORCEMENT FUND 2015/16,,"90,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003175,HCA CITY DEALS: BIRMINGHAM CITY DEAL 2015/16,,"1,927,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003176,HCA CITY DEALS: MANCHESTER CITY DEAL 2015/16,,"8,310,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003184,HCA HOUSING SUPPLY; BUILDERS FINANCE FUND 2015/16,,"2,302,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003185,HCA HOUSING SUPPLY: ESTATE REGENERATION 2015/16,,"400,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003186,HCA HOUSING SUPPLY: SERVICED PLOTS 2015/16,,"38,000",01/04/15,31/03/16,1,General Grants - Competed,Private,n/a
Department for Communities and Local Government,SCH-000003187,HOUSING GROWTH AND AFFORDABLE HOUSING:- GARDEN CITIES 2015/16,,"4,000,000",01/04/15,31/03/16,1,General Grants - Competed,Public Organisations,n/a
Department for Communities and Local Government,SCH-000003189,NEIGHBOURHOOD PLANNING:NEW BURDEN 2015/16,,"5,195,000",01/04/15,31/03/16,1,Formula,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003195,OPEN SOURCE PLANNING:LDO INCENTIVE FUND DEPT 2015/16,,"691,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003196,OPEN SOURCE PLANNING:SITE DELIVERY FUND DEPT 2015/16,,"1,113,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003190,NEIGHBOURHOOD PLANNING:SUPPORTING COMMUNITIES 2015/16,,"4,797,000",01/04/15,31/03/16,1,General Grants - Competed,Civil Society,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003191,NEIGHBOURHOOD PLANNING:COMMUNITY RIGHT TO BUILD 2015/16,,"540,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003199,HCA HOUSING SUPPLY:LGE SITES INF PROGS 2015/16,,"1,950,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003200,HCA HOUSING SUPPLY:LOC GR FUND HSING INF 2015/16,,"350,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003201,HCA HOUSING SUPPLY: HOUSING ZONES 2015/16,,"150,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government; Private,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003202,RIGHT TO MOVE 2015/16,,"1,437,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
Department for Communities and Local Government,SCH-000003203,LOCAL GROWTH FUND 2015/16,,"1,143,800,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,n/a
Department for Communities and Local Government,SCH-000003197,OPEN SOURCE PLANNING:DATA ON BROWNFIELD LAND 2015/16,,"750,000",01/04/15,31/03/16,1,General Grants - Competed,Private,n/a
Department for Communities and Local Government,SCH-000003198,REVIEW OF RETIREMENT EXIT FEES 2015/16,,"200,000",01/04/15,31/03/16,1,General Grants - Competed,Central Government,6. Housing and community amenities
Department for Communities and Local Government,SCH-000003205,OPEN SOURCE PLANNING: SHALE GAS 2015/16,,"658,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
Department for Communities and Local Government,SCH-000003209,UK HOLOCAUST MEMORIAL FUND 2015/16,,"1,000,000",01/04/15,31/03/16,1,General Grants - Competed,Civil Society,n/a
Department for Communities and Local Government,SCH-000003210,BETTER CARE FUND CONTRIBUTIONS 2015/16,,"3,997,000",01/04/15,31/03/16,1,Formula,Central Government,10. Social protection
Department for Communities and Local Government,SCH-000003211,COASTAL COMMUNITY TEAMS 2015/16,,"4,227,000",01/04/15,31/03/16,1,General Grants - Competed,Local Government,n/a
Department for Communities and Local Government,SCH-000003212,CROYDON DEPT 2015/16,,"1,400,000",01/04/15,31/03/16,1,General Grants - Criteria Based,Local Government,n/a
